DrinkIngredient;Category;IsUsed;SupplierId;Cost;SizeLiters;SizeUnits;QuantityNeeded;Notes
ACQUA SAN BENEDETTO FEIZZ;ACQUA;NO;DIBE;0,17;0,5;1;10;
ABBAYE DES ROCS NOEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,36;0,33;1;10;
ACQUA SAN BENEDETTO NAT;ACQUA;NO;DIBE;0,17;0,5;1;10;
Ace;SUCCHI;NO;ATB;0,58;0,2;1;10;
Achel Bruin 8 %;BIRRE BOTTIGLIA;NO;ATB;1,92;0,33;1;10;BRUIN
ACQUA BRILLANTE - TONICA LATT 33 CL;BIBITE;SI;LEVA;0,43;0,33;1;10;
ACQUA BRILLANTE - TONICA 20 CL VETRO;BIBITE;SI;LEVA;0,38;0,2;1;10;
Acqua Frizz;ACQUA;NO;ATB;0,19;0,5;1;10;
Acqua Nat;ACQUA;NO;ATB;0,19;0,5;1;10;
AMARO DEL CAPO;AMARO;NO;DIBE;10,25;0,7;1;10;
ACQUA SAN BENEDETTO FRIZZANTE;BIBITE;SI;LEVA;0,18;0,5;1;10;
AVERNA;AMARO;NO;DIBE;14,3;1;1;10;
ACQUA SAN BENEDETTO NATURALE;BIBITE;SI;LEVA;0,18;0,5;1;10;
Albicocca;SUCCHI;NO;ATB;0,58;0,2;1;10;
AMARCORD VOLPINA;BIRRE FUSTO;NO;ATB;0;16;1;10;BITTER ALE
ANDECHS DOPPELBOCK 7%;BIRRE FUSTO;NO;ATB;117,5;30;1;10;DOPPELBOCK DUNKELL
BREWDOG PUNK IPA;BIRRE FUSTO;NO;ATB;124,2;30;1;10;IPA
BUSH THE NOEL 12°;BIRRE FUSTO;NO;ATB;115,2;20;1;10;BELGIAN ALE DI NATALE
AMA MORA 9 %;BIRRE BOTTIGLIA;NO;ATB;2,58;0,3;1;10;
AMARCORD GRADISCA 5,2 %;BIRRE BOTTIGLIA;NO;ATB;2,63;0,5;1;10;
BELA TUSA - 4,5;BIRRE BOTTIGLIA;NO;MA.BO;2,2;0,33;1;10;
SCIURA IPA - 6,5;BIRRE BOTTIGLIA;NO;MA.BO;2,3;0,33;1;10;
SCIMBA - 8;BIRRE BOTTIGLIA;NO;MA.BO;2,3;0,33;1;10;
SPAZZACAMIN - 6;BIRRE BOTTIGLIA;NO;MA.BO;2,3;0,33;1;10;
TAS&BEF - 5;BIRRE BOTTIGLIA;NO;MA.BO;2,3;0,33;1;10;
BELA TUSA - 4,5;BIRRE FUSTO;NO;MA.BO;93;24;1;10;
SCIURA IPA - 6,5;BIRRE FUSTO;NO;MA.BO;96;24;1;10;
SCIMBA - 8;BIRRE FUSTO;NO;MA.BO;96;24;1;10;
SPAZZACAMIN - 6;BIRRE FUSTO;NO;MA.BO;96;24;1;10;
TAS&BEF - 5;BIRRE FUSTO;NO;MA.BO;96;24;1;10;
AMARCORD RISERVA SPECIALE 10 %;BIRRE BOTTIGLIA;NO;ATB;11,33;0,75;1;10;
GOLDEN PRIDE;BIRRE FUSTO;NO;ATB;0;16;1;10;BITTER ALE
AMARCORD VOLPINA 6,5 %;BIRRE BOTTIGLIA;NO;ATB;2,79;0,5;1;10;
AMARO D'ANGERA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;16,5;0,7;1;10;AMARO
BRANCAMENTA - FERNET;AMARO;NO;DIBE;15,2;1;1;10;
AMARO DEL CAPO;AMARO;NO;ATB;16,4;1;1;10;
AMARO DEL CAPO;SUPER ALCOLICI;SI;LEVA;16,67;1;1;10;
AMARO DEL LAGO MAGGIORE;AMARO;NO;CDA;17,1;0,7;1;10;
AMARO DEL LAGO MAGGIORE;SUPER ALCOLICI;SI;ROSSI D'ANGERA;12;0,7;1;10;AMARO
AMARO MONTENEGRO;SUPER ALCOLICI;SI;LEVA;13,31;0,7;1;10;
AMARO UNICUM;AMARO;NO;ATB;0;1;1;10;
AMARO UNICUM;SUPER ALCOLICI;SI;LEVA;15,1;1;1;10;
GOUDEN CAROLUS CHRISTMAS;BIRRE FUSTO;NO;ATB;104,64;20;1;10;BELGIAN ALE DI NATALE
ANDECHS DOPPELBOCK 7%;BIRRE BOTTIGLIA;NO;ATB;2,33;0,5;1;10;
BRAULIO;AMARO;NO;DIBE;14,53;1;1;10;
ANIMA NERA;LIQUORE;NO;ATB;16,1;0,7;1;10;
BRAULIO RISERVA;AMARO;NO;DIBE;17,16;0,7;1;10;
APEROL;COKTAIL;NO;ATB;9,63;1;1;10;
APEROL;SUPER ALCOLICI;SI;LEVA;11,08;1;1;10;PER COKTAIL
ARANCIATA AMARA;BIBITE;NO;LEVA;0,39;0,33;1;10;
DI SARONNO;AMARO;NO;DIBE;16,32;1;1;10;
ARANCIATA AMARA;BIBITE;NO;ATB;0,42;0,33;1;10;
ARANCIATA DOLCE;BIBITE;NO;LEVA;0,39;0,33;1;10;
ARANCIATA DOLCE;BIBITE;NO;ATB;0,42;0,33;1;10;
JAGERMEISTER;AMARO;NO;DIBE;14,56;1;1;10;
MONTENEGRO;AMARO;NO;DIBE;10,9;0,7;1;10;
ASSENZIO;DISTILLATO;NO;ATB;0;1;1;10;
ASSENZIO;SUPER ALCOLICI;NO;LEVA;17,37;1;1;10;
GUINNESS STOUT 4,2;BIRRE FUSTO;NO;ATB;109,65;30;1;10;STOUT
AVERNA;AMARO;NO;LEVA;15,1;1;1;10;
RAMAZZOTTI;AMARO;NO;DIBE;13,48;1;1;10;AMARO
AVERNA;AMARO;NO;ATB;13,63;1;1;10;
AYINGER CELEBRATOR 6.7°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,52;0,33;1;10;DPPELBOCK DUNKEL
UNICUM;AMARO;NO;DIBE;14,55;1;1;10;AMARO
BAILEYS;LIQUORE;NO;ATB;13,74;1;1;10;
BAILEYS;SUPER ALCOLICI;SI;LEVA;14,99;1;1;10;LIQUORE
ARANCIATA AMARA;BIBITE;NO;DIBE;0,41;0,33;1;10;
ARANCIATA FANTA;BIBITE;NO;DIBE;0,53;0,33;1;10;
BARBERA D'ASTI;VINI;NO;LEVA;2,91;0,75;1;10;ROSSO
BARBERA D'ASTI;VINI;NO;ATB;2,43;0,75;1;10;
BATIDA DI COCCO;SUPER ALCOLICI;NO;LEVA;9,16;0,7;1;10;PER COKTAIL
CHINOTTO LAT;BIBITE;NO;DIBE;0,45;0,33;1;10;
HAKER PSCHORR GOLD 5,5 %;BIRRE FUSTO;NO;ATB;81,75;30;1;10;LAGER
COCA COLA 0,20 VETRO;BIBITE;NO;DIBE;0,51;0,2;1;10;
COCA COLA VETRO 33 CL;BIBITE;NO;DIBE;0,53;0,33;1;10;
BATIDA DI COCCO;COKTAIL;NO;ATB;0;0,5;1;10;
HAKER PSCHORR KELLER 5,5 %;BIRRE FUSTO;NO;ATB;85,77;30;1;10;KELLER
HAKER PSCHORR MARZEN 5,5 %;BIRRE FUSTO;NO;ATB;66;20;1;10;MARZEN
HAKER PSCHORR MARZEN 5,5 %;BIRRE FUSTO;NO;ATB;0;30;1;10;MARZEN
COCA COLA ZERO VETRO 33 CL;BIBITE;NO;DIBE;0,53;0,33;1;10;
BIEKEN 8,5 %;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,94;0,33;1;10;STRONG ALE
BIEKEN 8,5 %;BIRRE BOTTIGLIA;NO;ATB;1,73;0,33;1;10;
BIRRA ANTONIANA SCUDATA 5%;BIRRE BOTTIGLIA;NO;METRO;2,59;0,66;1;10;KELLER
BIRRA COBRA 5%;BIRRE BOTTIGLIA;NO;METRO;0,95;0,33;1;10;LAGHER
BIRRA CRUS 7,2 %;BIRRE BOTTIGLIA;NO;METRO;3,79;0,75;1;10;ALE
HAKER PSCHORR OKTOBERFESTBIER 6%;BIRRE FUSTO;NO;ATB;0;30;1;10;LAGER
HAKER PSCHORR WEISSE 5,2;BIRRE FUSTO;NO;ATB;0;20;1;10;WEISSE
HB URBOCK;BIRRE FUSTO;NO;ATB;0;20;1;10;BOCK DUNKELL
HB WEIZEN 5,1 %;BIRRE FUSTO;NO;ATB;69;20;1;10;WEISSE
CRODINO;BIBITE;NO;DIBE;0,47;0,33;1;10;
LEMONSODA 18 VETRO;BIBITE;NO;DIBE;0,5;0,2;1;10;
LEMONSODA LAT 33;BIBITE;NO;DIBE;0,53;0,33;1;10;
BLOMENBIER;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,07;0,33;1;10;STRONG ALE
RED BULL 25 LAT;BIBITE;NO;DIBE;1,01;0,33;1;10;
SCHWEPPES TONICA 18 VETRO;BIBITE;NO;DIBE;0,5;0,18;1;10;
BIRRA SENZA GLUTINE - DA TROVARE;BIRRE BOTTIGLIA;NO;METRO;0;0,5;1;10;
BIRRA SENZA GLUTINE - DAURA;BIRRE BOTTIGLIA;NO;TIGROS;0;0,5;1;10;LAGER
BIRRA SENZA GLUTINE AMBER 33 CL;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;AMBER
BIRRA SENZA GLUTINE BLONDE CL;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;BLONG
BIRRA SENZA GLUTINE WHITE CL;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;WEISSE
SCHWEPPES TONICA 33;BIBITE;NO;DIBE;0,51;0,33;1;10;
BITTER CAMPARI;COKTAIL;NO;ATB;13,1;1;1;10;
BJORNE;BIRRE BOTTIGLIA;NO;METRO;1,65;0,5;1;10;
BLACK SHEEP GOLDEN SHEEP;BIRRE BOTTIGLIA;NO;ATB;2;0,5;1;10;
BLACK SHEEP HOLY GRAIN;BIRRE BOTTIGLIA;NO;ATB;3;0,5;1;10;
BLACK SHEEP RIGGWELTER;BIRRE BOTTIGLIA;NO;ATB;3;0,5;1;10;
BLACK SHEEP SPECIAL ALE;BIRRE BOTTIGLIA;NO;ATB;3;0,5;1;10;
IPA BEHOP;BIRRE FUSTO;NO;ATB;0;30;1;10;IPA
BLANCHE DES NEIGELS 5 %;BIRRE BOTTIGLIA;NO;ATB;1,27;0,33;1;10;
SPRITE;BIBITE;NO;DIBE;0,53;0,33;1;10;
BLOEMENBIER;BIRRE BOTTIGLIA;NO;ATB;2,08;0,33;1;10;
BOON OUDE GEUZE;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,24;0,25;1;10;GEUZE
BLUE MOON 5,4 %;BIRRE BOTTIGLIA;NO;METRO;1,19;0,33;1;10;BLANCHE
BOLS BLUE;SUPER ALCOLICI;NO;LEVA;9,1;0,7;1;10;PER COKTAIL
BOLS BLUE;COKTAIL;NO;ATB;9,75;0,7;1;10;
THE LIMONE - LIPTON NO BUONO;BIBITE;NO;DIBE;0,45;0,33;1;10;BIBITE
BRANCAMENTA;SUPER ALCOLICI;SI;LEVA;15,69;1;1;10;
THE PESCA - LIPTON NO BUONO;BIBITE;NO;DIBE;0,47;0,33;1;10;
KWACK;BIRRE FUSTO;NO;ATB;130,77;30;1;10;BELGIAN ALE
LA RULLES TRIPEL 8,4;BIRRE FUSTO;NO;ATB;103,2;20;1;10;TRIPEL
LONDON PRIDE;BIRRE FUSTO;NO;ATB;0;16;1;10;BITTER ALE
LUPULUS HIBERNATUS;BIRRE FUSTO;NO;ATB;103,68;20;1;10;BELGIAN ALE DI NATALE
BOOK CHIARA 5,5 %;BIRRE BOTTIGLIA;NO;ATB;1,13;0,33;1;10;
BOOK CHIARA 5,5 %;BIRRE BOTTIGLIA;NO;CDA;0,6;0,33;1;10;
BOON OUDE GEUZE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;3,14;0,38;1;10;GEUZE
CANTILLON GEUZE LAMBIC;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;7,1;0,38;1;10;GEUZE
BRAULIO;SUPER ALCOLICI;SI;LEVA;13,31;1;1;10;
BRANCAMENTA;AMARO;NO;ATB;15,2;1;1;10;
25 12 NATALIZIA;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;0;0,33;1;10;
BRAULIO RISERVA;AMARO;NO;LEVA;15,9;0,7;1;10;
BIRRA DEL BORGO DUCHESSA;BIRRE BOTTIGLIA;SI;DIBE;2,11;0,33;1;10;SAISON
BRAULIO;AMARO;NO;ATB;13,5;1;1;10;
CACHACA PIRASSUNGA;SUPER ALCOLICI;NO;LEVA;12,05;1;1;10;PER COKTAIL
BIRRA DEL BORGO LISA;BIRRE BOTTIGLIA;SI;DIBE;1,16;0,33;1;10;LAGER
PFERDEN LAGER;BIRRE FUSTO;NO;ATB;0;30;1;10;LAGHER
ROTHAUS PILS;BIRRE FUSTO;NO;ATB;0;20;1;10;PILS
BROUWERIJ KEES SESSION IPA;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,94;0,33;1;10;SESSION IPA
BRUT SPUMANTE COLLER;VINI;NO;ATB;2,67;0,75;1;10;
BUSH THE NOEL 12°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,17;0,33;1;10;CHRISTMAS STRONG ALE
ST. BENOIT AMBREE;BIRRE FUSTO;NO;ATB;0;16;1;10;BELGIAN ALE
BWG CLOCK WORK TANGERNE;BIRRE BOTTIGLIA;NO;METRO;1,95;0,5;1;10;
BWG DEAD PONY CLUB;BIRRE BOTTIGLIA;NO;METRO;1,99;0,5;1;10;
BWG LOST LAGER;BIRRE BOTTIGLIA;NO;METRO;1,85;0,5;1;10;
BWG PUNK IPA;BIRRE BOTTIGLIA;NO;METRO;2,09;0,5;1;10;
CAFFE' BORGHETTI;SUPER ALCOLICI;SI;LEVA;13,02;1;1;10;LIQUORE
BIRRA DEL BORGO MALEDETTA;BIRRE BOTTIGLIA;SI;DIBE;1,98;0,33;1;10;BELGIAN ALE ROSSA
CAMPARI SODA;BIBITE;SI;LEVA;0,81;0,098;1;10;
CAMPARI BITTER;SUPER ALCOLICI;SI;LEVA;14,49;1;1;10;PER COKTAIL
CAFFE' BORGHETTI;LIQUORE;NO;ATB;12,9;1;1;10;
CAFFE' CIALDE;CAFFETTERIA;SI;COFFEE POINT;42;1,05;1;10;0,28 € A CIALDA 7 gr
CAFFE' CIALDE - DEC;CAFFETTERIA;SI;COFFEE POINT;42;1,05;1;10;0,28 € A CIALDA
CHARDONNAY;VINI;NO;LEVA;2,6;0,75;1;10;
CHIANTI MELINI;VINI;NO;LEVA;3,68;0,75;1;10;ROSSO FERMO
BIRRA DEL BORGO RE ALE 6,4;BIRRE BOTTIGLIA;SI;DIBE;2,1;0,33;1;10;IPA
CAMPARI SODA;BIBITE;NO;ATB;0;0,33;1;10;0,007
DELIRIUM RED;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,32;0,33;1;10;KRIEK
CHINOTTO SAN PELLEGRINO LAT;BIBITE;SI;LEVA;0,39;0,33;1;10;
BIRRA DEL BORGO MY ANTONIA;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,26;0,33;1;10;IMPERIAL PILS
CHARDONNAY;VINI;NO;ATB;2,33;0,75;1;10;
BIRRA DEL BORGO REALE EXTRA;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;0;0,33;1;10;IPA
BLOEMBIER;BIRRE BOTTIGLIA;NO;DIBE;2,31;0,33;1;10;
CHIANTI DOCG;VINI;NO;ATB;3,25;0,75;1;10;
BOCK CHIARA 5 LUPPOLI;BIRRE BOTTIGLIA;SI;DIBE;0,52;0,33;1;10;
COCA COLA LAT 0,20;BIBITE;SI;LEVA;0,37;0,2;1;10;
ST. BERNARDUS CHRISTMAS;BIRRE FUSTO;NO;ATB;107,52;20;1;10;BELGIAN ALE DI NATALE
CHOUFFE HUBLON;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,53;0,33;1;10;
CHINOTTO LAT;BIBITE;NO;ATB;0,42;0,33;1;10;
COCA COLA LATT;BIBITE;NO;LEVA;0,47;0,33;1;10;
CORONA 4,6%;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,16;0,33;1;10;LAGHER
TENNENT'S SUPER 9,0;BIRRE FUSTO;NO;ATB;110,4;30;1;10;STRONG LAGER
CIOCCOLATA - CIOBAR;CAFFETTERIA;SI;CDA;0;0,5;1;10;
DELIRIUM NOCTURNE;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,28;0,33;1;10;
COCA COLA 150 cl;BIBITE;NO;CDA;0;0,33;1;10;
COCA COLA LAT;BIBITE;NO;ATB;0,5;0,33;1;10;
COCA COLA VETRO 20 CL;BIBITE;NO;LEVA;0;0,2;1;10;
COCA COLA LAT 0,20;BIBITE;NO;ATB;0,42;0,2;1;10;
COCA COLA VETRO 33 CL;BIBITE;SI;LEVA;0,56;0,33;1;10;
COCA COLA ZERO LAT;BIBITE;NO;LEVA;0,43;0,33;1;10;
COCA COLA ZERO VETRO 33 CL;BIBITE;SI;LEVA;0,56;0,33;1;10;
DELIRIUM RED;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,28;0,33;1;10;
COGNAC COURVASIEUR;SUPER ALCOLICI;NO;LEVA;19,92;1;1;10;
COCA COLA ZERO LAT;BIBITE;NO;ATB;0,5;0,33;1;10;
DELIRIUM TREMENS;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,28;0,33;1;10;
THATCHERS SIDRO HAZE - LAT;BIRRE BOTTIGLIA;SI;DIBE;2,12;0,44;1;10;
CRODINO;BIBITE;SI;LEVA;0,5;0,1;1;10;
CONTREAU;SUPER ALCOLICI;NO;LEVA;20,11;1;1;10;LIQUORE
THATCHERS SIDRO ROSE' - LAT;BIRRE BOTTIGLIA;SI;DIBE;2,15;0,44;1;10;
LA TRAPPE DUBBEL;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2;0,33;1;10;
CONTREAU;LIQUORE;NO;ATB;18,83;1;1;10;
CORONA 4,6%;BIRRE BOTTIGLIA;NO;ATB;1,33;0,33;1;10;
CORONA 4,6%;BIRRE BOTTIGLIA;NO;CDA;0,79;0,33;1;10;
LEFFE AMBREE 6,6;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,47;0,33;1;10;
LEFFE RITUEL 9,0;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;0;0,75;1;10;
DOLCETTO D'ALBA;VINI;NO;LEVA;4,54;0,75;1;10;
LEFFE TRIPEL 8,5;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,67;0,33;1;10;
CRODINO;BIBITE;NO;ATB;0;0,33;1;10;
DAURA;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;
DE DOLLE ARA BIER;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,4;0,33;1;10;IPA
DE DOLLE DULLE TEVE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,52;0,33;1;10;TRIPEL
DE DOLLE STILLE NACHT 12°;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;3,69;0,33;1;10;CHRISTMAS STRONG ALE
LIEFMANS FRUITESSE;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,82;0,25;1;10;
DE RANKE PER NOEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,28;0,33;1;10;CHRISTMAS STRONG ALE
LIEFMANS GOUDENBRAND;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;3,22;0,375;1;10;
LIEFMANS KRIECK;BIRRE BOTTIGLIA;NATALE;DIBE;7,01;0,75;1;10;
LOWLANDER WINTER I.P.A.;BIRRE BOTTIGLIA;NATALE;DIBE;2,66;0,33;1;10;
MONGOZO;BIRRE BOTTIGLIA;NO;DIBE;1,78;0,33;1;10;
DELIRIUM NOEL;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;2,32;0,33;1;10;
DELIRIUM TREMENS;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,12;0,33;1;10;TRIPEL
MORREL'S SCOTCH ALE;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,87;0,33;1;10;
Delirium Red 9 %;BIRRE BOTTIGLIA;NO;ATB;1,09;0,33;1;10;
LUPULUS BLANCE;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;1,77;0,33;1;10;
DELIRIUM TREMENS;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,05;0,33;1;10;TRIPEL
DI SARONNO;SUPER ALCOLICI;SI;LEVA;17,56;1;1;10;
ORVAL 6,2 %;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,18;0,33;1;10;
FALANGHINA DEL BEN IGT;VINI;NO;LEVA;3,47;0,75;1;10;BIANCO FERMO
DI SARONNO;AMARO;NO;ATB;17,2;1;1;10;
ROCHEFORT 06;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,25;0,33;1;10;
DNA IPA 4,5%;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;IPA
FANTA VETRO 33 CL;BIBITE;SI;LEVA;0,56;0,33;1;10;
DOLCETTO D'ALBA;VINI;NO;ATB;2,5;0,75;1;10;
ROCHEFORT 08;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,57;0,33;1;10;
ROCHEFORT 10;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;3,28;0,33;1;10;
DOM BYRON FEBUS PILS;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,42;0,33;1;10;PILS
DOM BYRON ICARIUS IPA;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,55;0,33;1;10;IPA
DUVEL TRIPEL BLONDE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;0,5;0,33;1;10;TRIPEL
SHEPHERD NAME IPA;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,5;0,5;1;10;IPA
SIDRO THATCHERS GOLD;BIRRE BOTTIGLIA;NO;DIBE;2,8;0,5;1;10;SIDRO
FRATELLI VENA - LIQUIRIZIA;SUPER ALCOLICI;NO;LEVA;14,38;0,7;1;10;
FALANGHINA DEL BEN IGT;VINI;NO;ATB;3;0,75;1;10;
THATCHERS SIDRO HAZE - BOT;BIRRE BOTTIGLIA;NO;DIBE;2,83;0,5;1;10;
FRATELLI VENA - MIRTO;SUPER ALCOLICI;SI;LEVA;11,77;0,7;1;10;
FRANZISKANER KELLER 5,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;52,52;18;1;10;0.30-0.50-1 - KELLER
FRANZISKANER KELLER 5,2;BIRRE FUSTO;SI;DIBE;36,94;12;1;10;0.30-0.50-1 - KELLER
FRANZISKANER WEISSE 5,0;BIRRE FUSTO;IN PROGRAMMA;DIBE;65,7;30;1;10;0.30-0.50-1 WEISSE
FRANZISKANER WEISSE 5,0;BIRRE FUSTO;SI;DIBE;72,68;30;1;10;0.30-0.50-1 WEISSE
GOOSE IPA 5,9;BIRRE FUSTO;IN PROGRAMMA;DIBE;65,8;20;1;10;0.25-0.4 OBB 0.355 IPA
