DrinkIngredient;Category;IsUsed;SupplierId;Cost;SizeLiters;SizeUnits;QuantityNeeded;Notes
GOOSE IPA 5,9;BIRRE FUSTO;SI;DIBE;75,25;20;1;10;0.25-0.4 OBB 0.355 IPA
GIN BOSFORD;SUPER ALCOLICI;NO;LEVA;9,54;1;1;10;
GUINNESS STOUT 4,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;95,34;30;1;10;0,25-0.50
GAZZOSA GUIZZA;BIBITE;SI;CDA;0,38;1,5;1;10;
GIN GORDON'S;SUPER ALCOLICI;SI;LEVA;12,33;1;1;10;
GUINNESS STOUT 4,2;BIRRE FUSTO;SI;DIBE;103,77;30;1;10;98,76
GIN HEMP;SUPER ALCOLICI;SI;ROSSI D'ANGERA;24,31;0,7;1;10;GIN
GIN HENDRICK'S;SUPER ALCOLICI;SI;LEVA;27,04;0,7;1;10;
GIN GORDON'S;GIN;NO;ATB;11;1;1;10;
GIN LARIO'S DRY;SUPER ALCOLICI;NO;LEVA;9,54;1;1;10;
GIN LATITUDINE 45°;SUPER ALCOLICI;SI;ROSSI D'ANGERA;23,31;0,7;1;10;GIN
GIN MALFY ARANCIA;SUPER ALCOLICI;SI;LEVA;25,33;0,7;1;10;
GIN MALFY LIMONE;SUPER ALCOLICI;SI;LEVA;25,33;0,7;1;10;
GIN MALFY POMPELMO ROSA;SUPER ALCOLICI;SI;LEVA;25,33;0,7;1;10;
GIN MOMBASA;SUPER ALCOLICI;NO;LEVA;25,43;0,7;1;10;
GIN PROFESSORE CROCODILE;SUPER ALCOLICI;SI;LEVA;32,31;0,7;1;10;
GIN PROFESSORE MESSIEU;SUPER ALCOLICI;SI;LEVA;39,09;0,7;1;10;
GIN SHAPPIRE;SUPER ALCOLICI;NO;LEVA;17,26;1;1;10;
GIN ROKU;SUPER ALCOLICI;NO;CDA;17,9;0,7;1;10;
GIN TANQUERAY;SUPER ALCOLICI;SI;LEVA;17,09;1;1;10;
GIN SHAPPIRE;GIN;NO;ATB;18,67;1;1;10;
LEFFE BLONDE 6,6;BIRRE FUSTO;IN PROGRAMMA;DIBE;58,13;20;1;10;0.25-0.33-0.50
GIN TANQUERAY SEVILLA;SUPER ALCOLICI;SI;LEVA;20,95;0,7;1;10;12 porzioni di gin tonic
GIN TANQUERAY;GIN;NO;ATB;15,55;1;1;10;
GIN VINE;SUPER ALCOLICI;NO;LEVA;24,56;0,7;1;10;
GOCCIA NERA - LIQUIRIZIA;SUPER ALCOLICI;NO;LEVA;10;0,7;1;10;
LEFFE BLONDE 6,6;BIRRE FUSTO;SI;DIBE;63,81;20;1;10;0.25-0.33-0.50
LEFFE ROUGE 6,6;BIRRE FUSTO;IN PROGRAMMA;DIBE;58,49;20;1;10;0.25-0.33-0.50 - AMBER ALE
LEFFE ROUGE 6,6;BIRRE FUSTO;SI;DIBE;64,16;20;1;10;0.25-0.33-0.50 - AMBER ALE
LOWENBRAU - PILS 5,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;62,2;30;1;10;0.2-0.4.1
GOUDEN CAROLUS CHRISTMAS;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;2,32;0,33;1;10;BELGIAN ALE DI NATALE
CHOUFFE N'ICE;BIRRE FUSTO;NATALE;DIBE;96,97;20;1;10;
GRAPPA AL MIELE - ROSSI D'ANGERA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;8,5;0,5;1;10;LIQUORE
GRAPPA AMBRATA AMANDOLA - NEBBIOLO;SUPER ALCOLICI;NO;ROSSI D'ANGERA;23,09;0,7;1;10;LIQUORE
HENDRICK'S GIN;GIN;NO;DIBE;27,6;0,7;1;10;
PRINCIPIUM;AMARO;NO;DIBE;27,6;0,7;1;10;
GRAPPA BERGHEM AL MIELE;SUPER ALCOLICI;NO;CDA;9,14;0,7;1;10;
LOWENBRAU - PILS 5,2;BIRRE FUSTO;SI;DIBE;67,64;30;1;10;0.2-0.4.1
GRAPPA BIANCA FALED;DISTILLATO;NO;ATB;8,06;1;1;10;
GRAPPA BIANCA - GENTILE - ROSSI D'ANGERA;SUPER ALCOLICI;NO;ROSSI D'ANGERA;14,19;1;1;10;LIQUORE
TENNENT'S SUPER 9,0;BIRRE FUSTO;IN PROGRAMMA;DIBE;86,66;30;1;10;0.2-0.4-1
GRAPPA GENTILE - MOSCATO;SUPER ALCOLICI;NO;ROSSI D'ANGERA;12,85;0,7;1;10;LIQUORE
TENNENT'S SUPER 9,0;BIRRE FUSTO;SI;DIBE;92,47;30;1;10;0.2-0.4-1
GRAPPA GIOVANE - SECCA;SUPER ALCOLICI;NO;ROSSI D'ANGERA;13,45;0,7;1;10;LIQUORE
GRAPPA STRAVECCHIA RISERVA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;9,8;0,7;1;10;LIQUORE
GRAPPA RISERVA AMBRATA - ROSSI D'ANGERA;SUPER ALCOLICI;NO;ROSSI D'ANGERA;12,89;0,7;1;10;LIQUORE
GRAPPA GIALLA JULIA;DISTILLATO;NO;ATB;9,2;0,7;1;10;
GRAPPA JULIA INVECCHIATA;SUPER ALCOLICI;NO;LEVA;9,08;0,7;1;10;
HOEGAARDEN 4,9 %;BIRRE FUSTO;IN PROGRAMMA;DIBE;54,6;20;1;10;0.25-0.5 BLANCE
GRAPPA BIANCA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;10;1;1;10;LIQUORE
GRAPPA RISERVA PERSONALE;SUPER ALCOLICI;NO;ROSSI D'ANGERA;25,09;0,7;1;10;LIQUORE
GRAPPA RISERVA LA VENETA SCURA;SUPER ALCOLICI;NO;LEVA;13,56;1,5;1;10;GRAPPA
GRAPPA ZINI ALPINO;SUPER ALCOLICI;SI;LEVA;9,43;1;1;10;
HOEGAARDEN 4,9 %;BIRRE FUSTO;SI;DIBE;60,7;20;1;10;0.25-0.5 BLANCE
LOWEMBRAU TRIUMPHATOR 7,6;BIRRE FUSTO;NO;DIBE;80,83;30;1;10;0.2-04-1 DOPPELBOCK DUNKEL
GREENS - AMBER - NO GLUTINE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,63;0,33;1;10;AMBER ALE
GREENS - DRY HOPPER LAGER - NO GLUTINE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,47;0,33;1;10;LAGHER
GREENS - PILS - NO GLUTINE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,63;0,33;1;10;PILS
GREVEENSTEINER;BIRRE BOTTIGLIA;NO;METRO;1,55;0,5;1;10;
BELGICA DOUBLE BRUNE 7,3 °;BIRRE FUSTO;NO;DIBE;66,8;20;1;10;BRUNE
BELGICA DOUBLE TRIPEL 8,5°;BIRRE FUSTO;NO;DIBE;74;20;1;10;MARZEN
Tennent's OASK;BIRRE FUSTO;NO;DIBE;0;30;1;10;STRONG LAGHER
SPATEN PREMIUM BOCK 7,5;BIRRE FUSTO;NO;DIBE;79,07;30;1;10;BOCK CHIARA
AUGUSTINER HELL;BIRRE FUSTO;NO;DIBE;95;30;1;10;LAGHER
BASS BEST SCOTCH;BIRRE FUSTO;NO;DIBE;92,2;30;1;10;SCOTCH ALE DONEGAL GALLARATE
BIRRA DEL BORGO - LISA 5,0;BIRRE FUSTO;IN PROGRAMMA;DIBE;56,97;20;1;10;LAGER
BIRRA DEL BORGO - MALEDETTA 6,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;71,48;20;1;10;
BIRRA DEL BORGO - MY ANTONIA 7,5;BIRRE FUSTO;NO;DIBE;77,07;20;1;10;IMPERIAL PILSNER
BIRRA DEL BORGO - RE ALE 6,4;BIRRE FUSTO;NO;DIBE;73,3;20;1;10;IPA
BIRRA DEL BORGO DUCHESSA;BIRRE FUSTO;NO;DIBE;79;20;1;10;SAISON
BOMBOLA CARBO AZOTO - 5 LT;BIRRE FUSTO;SI;DIBE;28,99;5;1;10;
BOMBOLA CO2 - 10 KG;BIRRE FUSTO;SI;DIBE;50,38;10;1;10;
CHIMAY ROUGE;BIRRE FUSTO;NO;DIBE;100;20;1;10;TRAPPIST
CHIMAY TRIPEL;BIRRE FUSTO;NO;DIBE;109;20;1;10;TRAPPIST
HELECINE BLONDE;BIRRE BOTTIGLIA;NO;METRO;1,73;0,5;1;10;
HELECINE BRUNE;BIRRE BOTTIGLIA;NO;METRO;1,85;0,5;1;10;
FRANZISKANER DUNKEL;BIRRE FUSTO;NO;DIBE;79,8;30;1;10;JHONNY FOX DUNKEL WEISSE
HOEGAARDEN 4,9 %;BIRRE BOTTIGLIA;NO;TIGROS;1,07;0,33;1;10;BLANCHE
GOLDEN PRIDE;BIRRE FUSTO;NO;DIBE;77,82;16;1;10;STRONG ALE
GROLSCH;BIRRE FUSTO;NO;DIBE;90,41;30;1;10;lager
IRON MAIDEN 4,7 %;BIRRE BOTTIGLIA;NO;ATB;3,7;0,33;1;10;
GROLSCH WEIZEN;BIRRE FUSTO;NO;DIBE;73,48;20;1;10;weizen
KENT GOLDEN ALE;BIRRE FUSTO;NO;DIBE;0;20;1;10;GOLDEN ALE
JACK DANIEL'S;WHISKEY;NO;ATB;22,88;1;1;10;
JAGERMEISTER;SUPER ALCOLICI;SI;LEVA;16,96;1;1;10;
JAGERMEISTER;AMARO;NO;ATB;14,33;1;1;10;
KONIG BIONDA;BIRRE FUSTO;NO;DIBE;47,12;30;1;10;LAGER
KARMELIET 8,4%- 33 cl;BIRRE BOTTIGLIA;NO;ATB;1,92;0,33;1;10;
KARMELIET 8,4%- 75 cl;BIRRE BOTTIGLIA;NO;METRO;4,89;0,33;1;10;TRIPEL
LOWEMBRAU MARZEN;BIRRE FUSTO;OKTOBERFEST;DIBE;71,17;30;1;10;
KESS SESSION IPA;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,94;0,33;1;10;SESSION IPA
LOWEMBRAU TRIUMPHATOR 7,6;BIRRE FUSTO;NATALE;DIBE;77,55;30;1;10;0.2-04-1 DOPPELBOCK DUNKEL
KIRIN ICHIBAN 5%;BIRRE BOTTIGLIA;NO;METRO;1,09;0,33;1;10;LAGHER
LA CHOUFFE - BLONDE 8,5;BIRRE FUSTO;NO;DIBE;93,62;20;1;10;TRIPEL
KRAKEN;SUPER ALCOLICI;SI;LEVA;17,84;0,7;1;10;
LA COUFFE;BIRRE FUSTO;DA VALUTARE;DIBE;90,9;20;1;10;
LA TRAPPE TRIPEL;BIRRE FUSTO;DA VALUTARE;DIBE;89,45;20;1;10;
KWACK;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,9;0,33;1;10;AMBER ALE
LA BINCIOISE SPECIALE NOEL 8.5°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,12;0,33;1;10;CHRISTMAS AMBER ALE
LOWENBRAU MARZEN;BIRRE FUSTO;OKTOBERFEST;DIBE;77,36;30;1;10;
LOWENBRAU OKTOBERFEST;BIRRE FUSTO;OKTOBERFEST;DIBE;77,12;30;1;10;
LEFFE AMBREE 6,6;BIRRE FUSTO;NO;DIBE;64,4;20;1;10;BELGIAN AMBER
MAREDSOUS - NATALE 10;BIRRE FUSTO;NATALE;DIBE;92,38;20;1;10;BICCHIERE DA 0.33
LEFFE RITUEL 9,0;BIRRE FUSTO;NO;DIBE;91,6;20;1;10;BELGIAN STRONG ALE
LEFFE ROYALE;BIRRE FUSTO;NO;DIBE;86,51;20;1;10;BELGIAN ALE
LONDON PRIDE;BIRRE FUSTO;NO;DIBE;63,62;16;1;10;bitter ale
PORTERHOUSE NITRO RED ALE;BIRRE FUSTO;ST PATRICK;DIBE;87,23;20;1;10;
LA MERE NOEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,41;0,33;1;10;
PORTERHOUSE PLAYN PORTER;BIRRE FUSTO;ST PATRICK;DIBE;84,03;20;1;10;
PORTERHOUSE TEMPLE LAGER;BIRRE FUSTO;ST PATRICK;DIBE;86,02;20;1;10;
LUPOR KELLER;BIRRE FUSTO;NO;DIBE;0;20;1;10;KELLER
MEANDTIME IPA;BIRRE FUSTO;NO;DIBE;86,39;16;1;10;ipa
MEANTIME YAKIMA RED;BIRRE FUSTO;NO;DIBE;69,11;16;1;10;red ale
PILSNER URQUELL 4,4%;BIRRE FUSTO;NO;DIBE;100,67;30;1;10;pils
LATTE;CAFFETTERIA;SI;CDA;0;0,5;1;10;
LATTE CERRI 1000 UHT;CAFFETTERIA;NO;CDA;0,99;1;1;10;
LATTE PARMALAT;CAFFETTERIA;SI;CDA;1,21;0,5;1;10;
SAISON DUPONT BIOLOGIUCHE;BIRRE FUSTO;NO;DIBE;0;20;1;10;TRIPEL
SCHNEIDER ORIGINAL WEISSE;BIRRE FUSTO;NO;DIBE;0;20;1;10;WEISSE
SCHNEIDER WEISSE;BIRRE FUSTO;NO;DIBE;0;20;1;10;WEISSE
LEFFE BLONDE;BIRRE BOTTIGLIA;NO;METRO;1,55;0,5;1;10;
SIERRA NEVADA TORPEDO IPA;BIRRE FUSTO;NO;DIBE;70,83;20;1;10;TROPICAL IPA
SIERRA NEVADA TROPICAL IPA;BIRRE FUSTO;NO;DIBE;85;20;1;10;TROPICAL IPA
ST. BENOIT AMBREE;BIRRE FUSTO;NO;DIBE;65,63;16;1;10;amber ale
ST. BERNARDUS CHRISTMAS;BIRRE FUSTO;NATALE;DIBE;95,92;20;1;10;
LEFFE ROUGE;BIRRE BOTTIGLIA;NO;METRO;1,35;0,5;1;10;
ST. BERNARDUS TRIPEL;BIRRE FUSTO;NATALE;DIBE;84,52;20;1;10;TRIPEL
ST. BENOIT BLANCHE;BIRRE FUSTO;NO;DIBE;62,66;16;1;10;blance
ST. BENOIT SUPREME;BIRRE FUSTO;NO;DIBE;65,16;16;1;10;tripel
LEFFE TRIPEL;BIRRE BOTTIGLIA;NO;METRO;1,55;0,5;1;10;
ST. BERNARDUS BLANCE;BIRRE FUSTO;NO;DIBE;0;20;1;10;BLANCE
LEMONSODA 18 VETRO;BIBITE;SI;LEVA;0,39;0,18;1;10;
LEMONSODA 18 VETRO;BIBITE;NO;ATB;0,42;0,2;1;10;
EKU28;BIRRE FUSTO;NATALE;DIBE;86;20;1;10;DOPPELBOCK
ABBAYE DE MALONNE FOGGY SMOKE 10,5%;BIRRE FUSTO;NATALE;DIBE;81;20;1;10;BRUNE
PIETRA ALLA CASTAGNA 6%;BIRRE FUSTO;NATALE;DIBE;71;20;1;10;LAGHER ALLA CASTAGNA
GAULOISE CHRISTMAS 8,1%;BIRRE FUSTO;NATALE;DIBE;80;20;1;10;TRIPEL
BIRRA ANTONIANA DI NATALE 7,2%;BIRRE FUSTO;NATALE;DIBE;69;20;1;10;RED ALE
ST. STEFANUS;BIRRE FUSTO;NO;DIBE;98,45;20;1;10;TRIPEL
LEMONSODA LAT 33;BIBITE;SI;LEVA;0,41;0,33;1;10;
LEMONSODA LAT 33;BIBITE;NO;ATB;0,44;0,33;1;10;
STELLA ARTOIS BIONDA;BIRRE FUSTO;NO;DIBE;62,1;30;1;10;LAGHER
STELLA ATOIS BIONDA;BIRRE FUSTO;NO;DIBE;79,86;30;1;10;LAGHER
TETE DE MORT - TRIPEL AMBER;BIRRE FUSTO;NO;DIBE;100,3;20;1;10;
TETE DE MORT - TRIPEL BLOND;BIRRE FUSTO;NO;DIBE;98,79;20;1;10;
LIMONCELLO;SUPER ALCOLICI;SI;CDA;10,62;2;1;10;
LIMONCELLO CAPRI;SUPER ALCOLICI;NO;LEVA;11,93;1;1;10;LIQUORE
LIMONCELLO;LIQUORE;NO;ATB;12;1;1;10;
LIMONCELLO DENIS;SUPER ALCOLICI;SI;LEVA;12,33;1,5;1;10;
WADWORTH 6X - AMBER ALE;BIRRE FUSTO;NO;DIBE;0;20;1;10;AMBER ALE
WADWORTH CORVUS - STOUT;BIRRE FUSTO;NO;DIBE;0;20;1;10;STOUT
ZUCCHERO LIQUIDO DI CANNA;CAFFETTERIA;NO;DIBE;5,39;0,75;1;10;
LIQUORE CHOUFFE;LIQUORE;NO;ATB;26,43;1;1;10;
LIQUORE DENIS ALLA LIQUIRIZIA;SUPER ALCOLICI;NO;LEVA;9,37;0,7;1;10;LIQUORE
LIQUORE DENIS ALLA LIQUIRIZIA;SUPER ALCOLICI;NO;LEVA;13,09;1;1;10;LIQUORE
LIQUORE LIQUIRIZIA;SUPER ALCOLICI;SI;CDA;8,32;0,7;1;10;
LIQUORE LIQUIRIZIA;LIQUORE;NO;ATB;0;1;1;10;
TEQUILA CUERVO;COCKTAIL;NO;DIBE;13,53;1;1;10;TEQUILA
APEROL;COKTAIL;NO;DIBE;9,51;1;1;10;
BATIDA DI COCCO;COKTAIL;NO;DIBE;12,02;1;1;10;
BITTER CAMPARI;COKTAIL;NO;DIBE;12,45;1;1;10;
BOLS BLUE;COKTAIL;NO;DIBE;9,21;0,7;1;10;
CACHACA PIRASSUNGA;COKTAIL;NO;DIBE;11,32;1;1;10;
CAMPARI SODA;COKTAIL;NO;DIBE;0,7;0,1;1;10;
MARTINI BIANCO;COKTAIL;NO;DIBE;6,5;1;1;10;
MARTINI ROSSO;COKTAIL;NO;DIBE;6,5;1;1;10;
ASSENZIO;DISTILLATO;NO;DIBE;16,83;0,7;1;10;
LUPULUS BRUNE 8,5 %;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,12;0,33;1;10;
LUPULUS BLONDE;BIRRE BOTTIGLIA;NO;ATB;4,75;0,75;1;10;
LUPULUS BRUNE 8,5 %;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;5,01;0,75;1;10;
LUPULUS HOPERA 6 %;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,01;0,33;1;10;
LUPULUS BRUNE 8,5 %;BIRRE BOTTIGLIA;NO;ATB;4,83;0,75;1;10;
COGNAC MARTELL;DISTILLATO;NO;DIBE;21,94;0,7;1;10;
LUPULUS HIBERNATUS;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;2,31;0,33;1;10;
LUPULUS JOLLY PUPEE;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,01;0,33;1;10;
LUPULUS HOPERA 6 %;BIRRE BOTTIGLIA;NO;ATB;1,88;0,33;1;10;
LUPULUS PILS;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;1,77;0,33;1;10;
LUPULUS TRIPEL 8,5 %;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,12;0,33;1;10;
LUPULUS TRIPEL 8,5 %;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;5,01;0,75;1;10;
ORVAL 6,2 %;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,24;0,33;1;10;TRAPPIST
MAGNERS ORIGINAL IRISH CIDER;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;3,24;0,56;1;10;CIDRO
MAGNUM LUPULUS;BIRRE BOTTIGLIA;NO;ATB;18;1,5;1;10;
GRAPPA GIALLA;DISTILLATO;NO;DIBE;9,83;0,7;1;10;
MARTINI BIANCO;SUPER ALCOLICI;SI;LEVA;7,1;1;1;10;PER COKTAIL
VECCHIA ROMAGNA;DISTILLATO;NO;DIBE;14,42;1;1;10;DISTILLATO
MARTINI BIANCO;COKTAIL;NO;ATB;7,03;1;1;10;
MARTINI ROSSO;SUPER ALCOLICI;SI;LEVA;7,1;1;1;10;PER COKTAIL
ME-LI' - MENTA E LIQUIRIZIA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;8,5;0,5;1;10;LIQUORE
MARTINI ROSSO;COKTAIL;NO;ATB;6,43;1;1;10;
GIN BOSFORD;GIN;NO;DIBE;11,34;1;1;10;GIN
GIN GORDON'S;GIN;NO;DIBE;10,68;1;1;10;GIN
MC KINLEY - TONCA;BIBITE;NO;LEVA;0,4;0,2;1;10;
GIN TANQUERAY;GIN;NO;DIBE;15,39;1;1;10;GIN
ANIMA NERA;LIQUORE;NO;DIBE;0;0,5;1;10;
ALDERSABCHER DUNKEL;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;99,66;30;1;10;DUNKELL
MIRTO BIANCO;LIQUORE;NO;CDA;7,63;0,7;1;10;
MIRTO ROSS;LIQUORE;NO;CDA;7,67;0,7;1;10;
BAILEYS;LIQUORE;NO;DIBE;12,7;1;1;10;
MIRTO ZADDA PIRAS;LIQUORE;NO;ATB;0;0,5;1;10;
MIRTO ZADDA PIRAS;SUPER ALCOLICI;NO;LEVA;10,06;0,7;1;10;LIQUORE
MOSCATO DOLCE CAN;VINI;NO;LEVA;2,81;0,75;1;10;SPUMANTE
ALDERSBACHER PILS;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;69;30;1;10;
CAFFE' BORGHETTI;LIQUORE;NO;DIBE;12,9;0,7;1;10;
MONTENEGRO;AMARO;NO;ATB;18;1;1;10;
CONTREAU;LIQUORE;NO;DIBE;19,27;1;1;10;
LIMONCELLO;LIQUORE;NO;DIBE;5,55;0,7;1;10;
LIQUORE ALLA LIQUIRIZIA CAFFO;LIQUORE;NO;DIBE;21,11;1;1;10;
MORT SUBITE LAMBIC 4,5° GEUZE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,51;0,38;1;10;LAMBIC
MORT SUBITE LAMBIC 4°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,51;0,25;1;10;LAMBIC
NERO D'AVOLA IGP;VINI;NO;LEVA;3,31;0,75;1;10;ROSSO FERMO
LIQUORE CHOUFFE;LIQUORE;NO;DIBE;16,4;0,5;1;10;
NIKKA FROM THE BARREL;SUPER ALCOLICI;SI;LEVA;28,05;0,5;1;10;
NERO D'AVOLA IGP;VINI;NO;ATB;2,47;0,75;1;10;
MIRTO ZADDA PIRAS;LIQUORE;NO;DIBE;9,48;0,7;1;10;
PASSERINA SPUMANTE BRUT;VINI;NO;LEVA;3,8;0,75;1;10;SPUMANTE
ALDERSBACHER ZWIKEL;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;82;30;1;10;
OLD TOM - CHOCOLATE;BIRRE BOTTIGLIA;NO;ATB;2,73;0,33;1;10;
OMER;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,94;0,33;1;10;BLONDE
OPPIGARDS 5,2%;BIRRE BOTTIGLIA;NO;METRO;1,89;0,33;1;10;LAGHER
Pietra Blonde BIO Gluten Free 33 cl;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,15;0,33;1;10;ALE NO GLUTINE
PER - GRAPPA DI MOSCATO CON PERA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;17,5;0,7;1;10;LIQUORE
ORVAL 6,2 %;BIRRE BOTTIGLIA;NO;ATB;2,23;0,33;1;10;
PANNA SPRAY;CAFFETTERIA;SI;CDA;0;0,5;1;10;
PERSICHINA - GRAPPA DI MOSCATO CON ALBICOCCA;SUPER ALCOLICI;SI;ROSSI D'ANGERA;17,5;0,7;1;10;LIQUORE
