Ingredient;Category;IsUsed;QuantityNeeded;ActualQUantity;Notes
ARROSTO DI TACCHINO;AFFETTATI;NO;15;15;PERDITA 5% STIMATA
BACON;AFFETTATI;NO;15;15;
ACETO DI VINO;SALSE;NO;15;15;
BRESAOLA;AFFETTATI;NO;15;15;
ALETTE DI POLLO;FRITTI;NO;15;15;
ANELLI CIPOLLA;FRITTI;SI;15;15;
ANELLI DI CIPOLLA;FRITTI;SI;15;15;34 PZ 30 GR A PEZZO
COPPA;AFFETTATI;NO;15;15;
MORTADELLA;AFFETTATI;NO;15;15;2 mesi
PANCETTA;AFFETTATI;NO;15;15;PANCETTA CRUDA 200 --> COTTA 90 GR
BACON PANCETTA A FETTE;AFFETTATI;SI;15;15;44 fette
BERTOLACCI;FRITTI;NO;15;15;80 pezzi per confezione costo unitario 0.35 cent al pezzo
BITTO DOP;FORMAGGI;NO;15;15;
BRACIOLE DI MAIALE AFFUMICATE;CARNI;NO;15;15;SINGOLE BRACIOLE DA 330 GR
BRATEN SPECK;AFFETTATI;NO;15;15;
PROSCIUTTO COTTO;AFFETTATI;NO;15;15;
BRETZEL;APERITIVI;NO;15;15;PESO UNITARIO 110 GR.
PROSCIUTTO CRUDO;AFFETTATI;NO;15;15;
BRIE;FORMAGGI;NO;15;15;SOLO ORDINANDONE 6
SALAME;AFFETTATI;NO;15;15;€ 3,83
CANEDERLI - SPECK;CUCINA;NO;15;15;PESO 0,075
CANEDERLI - SPINACI;CUCINA;NO;15;15;PESO 0,075
CAPPUCCINO CAKE;DOLCI;NO;15;15;PESO PORZIONE 0,106
CASERA DOP;FORMAGGI;NO;15;15;
CAVOLO CAPPUCCIO ROSSO;CONTORNI;NO;15;15;
CEDDAR;FORMAGGI;DA VALUTARE;15;15;CHEDDAR 88 FETTE DA 0,0123
CHEDDAR;FORMAGGI;NO;15;15;88 fette pretagliate 0,0123
CHEDDAR;FORMAGGII;SI;15;15;
CHEESKAKE MONTEROSA;DOLCI;NO;15;15;12 FETTE
CHICKEN BURGER;CARNI;NO;15;15;200 GRAMMI NON ECCEZIONALE
CHILI MIX;SALSE;NO;15;15;
CHOCOLATE CAKE;DOLCI;NO;15;15;CAMBIATA
SALMONE;AFFETTATI;NO;15;15;€ 0,00
CIPOLLE CARAMELLATE;CONTORNI;NO;15;15;
SPECK;AFFETTATI;NO;15;15;€ 4,30
CODE DI GAMBREO ARGENTINI;FRITTI;NO;15;15;
COTOLETTA DI MAIALE MAXI;CARNI;NO;15;15;MEDIAMENTE DA 300 GR. VALUTARE PANINO
COTOLETTA DI POLLO;CARNI;SI;15;15;210 GRAMMI BUONO, SOTTILE
COTTO;AFFETTATI;SI;15;15;
TONNO;AFFETTATI;NO;15;15;€ 1,52
CRAUTI;CONTORNI;NO;15;15;
PATATINE;APERITIVI;NO;15;15;
SPAGNOLETTE;APERITIVI;NO;15;15;
CREMA NOCI;SALSE;NO;15;15;
CROCCHETTE DI PATATE;FRITTI;NO;15;15;18 GRAMMI A PZ 111 IN UNA CONF
CROCCHETTE DI POLLO;CARNI;NO;15;15;
CROCCHETTE DI POLLO;FRITTI;SI;15;15;25 GRAMMI A PZ 60 IN UNA CONF
CRUDO MATTONELLA;AFFETTATI;SI;15;15;
DOLCIFICANTE;CAFFETTERIA;NO;15;15;CONF DA 500
ZUCCHERO DI CANNA LIQUIDO;CAFFETTERIA;NO;15;15;
EDAMER;FORMAGGI;NO;15;15;
EDAMMER;FORMAGGI;NO;15;15;
GAMBERETTI;CARNI;NO;15;15;
FAGOTTINI DI ROSTI;FRITTI;NO;15;15;22 GRAMMI
FAJITAS MIX;SALSE;NO;15;15;
FILETTI DI BACCALA';FRITTI;NO;15;15;
FIORI DI ZUCCA IN PASTELLA;FRITTI;NO;15;15;
FISH & CIPS;CARNI;NO;15;15;PEZZI IN SCATOLA 40 - 25 GR.
FISH BURGER;CARNI;ST PATRICK;15;15;125 GR 25 PZ
FOCACCIA;APERITIVI;NO;15;15;650 GRAMMI
FORMAGGELLA DEL LUINESE;FORMAGGI;NO;15;15;
FORMAGGIO BIRRA;FORMAGGI;NO;15;15;
HAMBURGER;CARNI;NO;15;15;100 GRAMMI
HAMBURGER CHIANINA;CARNI;NO;15;15;€ 23,33
PULLED PORK;CARNI;NO;15;15;180 GR A PORZIONE
BASILICO;CONTORNI;NO;15;15;
BURRO;CONTORNI;NO;15;15;
GAMBRETTI JUMBO;CONTORNI;NO;15;15;
FORMAGGIO SPALMABILE;FORMAGGI;NO;15;15;
FRITTELLE ALLA PIZZAIOLA;FRITTI;NO;15;15;7 GRAMMI L'UNO
FRITTELLE ZUCCHINE E GAMBERI;FRITTI;NO;15;15;8 GRAMMI L'UNO
FRITTO DI MARE CON VERDURE;FRITTI;NO;15;15;
INSALATA;CONTORNI;NO;15;15;€ 2,60
MENTA;CONTORNI;NO;15;15;€ 1,00
RUCOLA;CONTORNI;NO;15;15;
ASIAGO;FORMAGGI;NO;15;15;2 mesi
GELATO - CREMA - CIOCCOLATO;DOLCI;NO;15;15;40 GR A PORZIONE
GNOCCO FRITTO;FRITTI;NO;15;15;NON BUONI
GORGONZOLA;FORMAGGI;NO;15;15;
GORGONZOLA OLIOLI;FORMAGGI;SI;15;15;
BURRATA;FORMAGGI;NO;15;15;2/3 sett - 250 GR
HAMBURGER ANGUS;CARNI;NO;15;15;200 GR
HAMBURGER TARTARE;CARNI;SI;15;15;160 GRAMMI
HAMBURGER ANGUS IRLANDESE;CARNI;NO;15;15;230 GRAMMI
HAMBURGER SMOKED GE;CARNI;NO;15;15;2000 grammi 15 cm
CASTELMAGNO;FORMAGGI;NO;15;15;3 mesi
HAMBURGER FASSONA;CARNI;SI;15;15;€ 48,82
HAMBURGER FASSONA GE;HAMBURGER;NO;15;15;200 grammi
HAMBURGER SCOTTONA;CARNI;NO;15;15;
HAMBURGER VEGETALE;CARNI;SI;15;15;€ 15,05
FORMAGGIO CAPRINO DI CAPRA;FORMAGGI;NO;15;15;1 mese - 80 GR
JALAPENO;FRITTI;NO;15;15;VERDI RIPIENO DI CHEDDAR +-30 PZ 0,30 GR
JALAPENOS;CONTORNI;NO;15;15;
FORMAGGIO CAPRINO DI VACCA;FORMAGGI;NO;15;15;1 mese - 80 GR
KETCHUP;SALSE;NO;15;15;€ 2,71
FORMAGGIO GRATTUGGIATO;FORMAGGI;NO;15;15;1 mese - 80 GR
FORMAGGIO PIZZOCCHERINA;FORMAGGI;NO;15;15;2 mesi
KETCHUP - BUSTINE;SALSE;NO;15;15;€ 6,84
KETKUP;SALSE;NO;15;15;
KETKUP - MONODOSE;SALSE;NO;15;15;
LARDO;AFFETTATI;NO;15;15;
LARDO PIACENTINO;AFFETTATI;NO;15;15;
MOZZARELLA;FORMAGGI;NO;15;15;€ 6,84
MAIONESE;SALSE;NO;15;15;€ 3,09
MOZZARELLA DI BUFALA;FORMAGGI;NO;15;15;€ 1,31
MAIONESE - BUSTINE;SALSE;NO;15;15;€ 6,99
PROVOLA;FORMAGGI;NO;15;15;SCADENZA 2 mesi - 45 FETTE
MELANZANE;CONTORNI;SI;15;15;€ 4,94
PROVOLA - SCAMORZA;FORMAGGI;NO;15;15;
MERINGATA;DOLCI;NO;15;15;€ 14,18
MEZZO POLLO ALLO SPIEDO;CARNI;NO;15;15;€ 40,19
STRACCIATELLA;FORMAGGI;NO;15;15;2/3 sett - 250 GR
MIELE;SALSE;NO;15;15;
MIELE - TUBETTO;SALSE;DA VALUTARE;15;15;
TOMA PIEMONTESE;FORMAGGI;NO;15;15;2 mesi
MONOPORZIONE BACIO DI DAMA;DOLCI;NO;15;15;€ 13,11
MONOPORZIONE CHEESKAKE;DOLCI;NO;15;15;€ 13,11
TOMA VAL SESIA;FORMAGGI;NO;15;15;1 mese
TOMINO;FORMAGGI;NO;15;15;1 mese - 11 FETTE
MOZARELLA STIC;FRITTI;NO;15;15;
OLIO FRITTURA;FRITTI;NO;15;15;€ 17,29
MOZZARELLA - FIOR DI LATTE;FORMAGGI;SI;15;15;
MOZZARELLA CILIEGINA;FORMAGGI;NO;15;15;€ 27,56
BRUSCHETTE;PANE;NO;15;15;
PIADINE;PANE;NO;15;15;100 GRAMMI
HAMBURGER DI SCOTTONA;HAMBURGER;SI;15;15;200 GRAMMI
MOZZARELLA FIOR;FORMAGGI;SI;15;15;100 GR
MOZZARELLA STICK;FRITTI;SI;15;15;(37 PZ 28 GR)
MOZZARELLINE;FRITTI;NO;15;15;€ 7,94
CREMA ALLE NOCI;SALSE;NO;15;15;
LATTE;SALSE;NO;15;15;€ 0,99
OLIO EXTRAVERGINE;SALSE;NO;15;15;
OLIO EXTRAVERGINE - PEPERONCINO;SALSE;NO;15;15;
OLIO FRIENN - 20;FRITTI;SI;15;15;
PANNA SPAY;SALSE;NO;15;15;
PATE' D'OLIVE NERE;SALSE;NO;15;15;
SALSA BBQ;SALSE;NO;15;15;
OLIO GIRASOLE;FRITTI;NO;15;15;
OLIVE ALL'ASCOLANA;FRITTI;NO;15;15;€ 7,47
SALSA GUACAMOLE;SALSE;NO;15;15;
OLIVE LATTA;CONTORNI;NO;15;15;€ 74,90
SALSA HOT CHILI;SALSE;NO;15;15;
SALSA SENAPE;SALSE;NO;15;15;
SALSA SMOKED BACON;SALSE;NO;15;15;
PANCETTA AFFUMICATA COTTA;AFFETTATI;NO;15;15;VALUTARE SCARTO
PANCETTA COPPATA;AFFETTATI;NO;15;15;
PANCETTA OSSOLANA;AFFETTATI;NO;15;15;
PUCCIA;PANE;SI;15;15;130 GR 13 CM DIAMETRO
PANE - GALEONI;PANE;SI;15;15;35 CM 265 GR
PANE - HAMBURGER GIOTTO;PANE;NO;15;15;120 GR
PANE HAMBURGER NERO;PANE;NO;15;15;90 GR
PANE HAMBURGER SENZA SESAMO;PANE;NO;15;15;90 GR
PANE HAMBURGER SESAMO;PANE;NO;15;15;81 GR
SALSA TARTARA;SALSE;NO;15;15;
SUGO DI POMODORI;SALSE;NO;15;15;
PANINETTI MIX;PANE;SI;15;15;16 grammi
TOPPING AL CARAMELLO;SALSE;NO;15;15;
PANZEROTTI POMODORO MOZZARELLA;FRITTI;NO;15;15;25 GR A PEZZO
ACETO BALSAMICO - BUSTINE;SALSE;SI;15;15;198 BUSTINE DA 0,005 GR
ACETO BALSMICO GLASSA;SALSE;SI;15;15;
PASTA SFOGLIA;PANE;ST PATRICK;15;15;230 gr. tonda
PATATE;FRITTI;NO;15;15;
CIPOLLE IN ACETO DI VINO ROSSO;APERITIVI;NO;15;15;
PATATINE FRITTE;FRITTI;SI;15;15;
CIPOLLOTTI;APERITIVI;NO;15;15;
PECORINO ROMANO;FORMAGGI;NO;15;15;
PECORINO SICILIANO;FORMAGGI;NO;15;15;
PENNANERA;FORMAGGI;NO;15;15;
PEPERONI;CONTORNI;SI;15;15;
ACETO DI VINO BIANCO;SALSE;SI;15;15;
PIADINA;PANE;NO;15;15;120 GR A PIADINA 5 PER CONF
AGLIO SECCO;CONTORNI;SI;15;15;
PIAVE MEZZANO;FORMAGGI;NO;15;15;
PIAVE ORO;FORMAGGI;NO;15;15;
PIZZA ROSSA;APERITIVI;NO;15;15;750 GR A PEZZO PROVA QUELLA NUOVA
PIZZETTINA;APERITIVI;NO;15;15;20 GR PEZZO
PIZZOCCHERI;CUCINA;NO;15;15;IMMANGIABILI
POLLO INPANATO;CARNI;NO;15;15;
POLLO PETTO;CARNI;NO;15;15;
ARANCE;CONTORNI;SI;15;15;
WURSTELL DI MAIALE;CARNI;NO;15;15;
CIPOLLE;CONTORNI;SI;15;15;
FAGIOLI;CONTORNI;SI;15;15;
PROSCIUTTO PRAGA;CARNI;OKTOBERFEST;15;15;
FUNGHI;CONTORNI;SI;15;15;
PROVOLA AFFUMICATA;FORMAGGI;NO;15;15;
ROSTI GRANDE;FRITTI;OKTOBERFEST;15;15;220 GRAMMI L'UNO - NON SI RIATTIVS IN FRIGGITRICE - MA SI Può PROVARE
ROSTI MINI;FRITTI;NO;15;15;20 GR A PEZZO
ROSTI TRIANGOLO ALLO SPECK;FRITTI;SI;15;15;50GR L'UNO 47 PZ
MIRTILLI;CONTORNI;NO;15;15;
SALAME APERITIVO;AFFETTATI;NO;15;15;
SALATINI;APERITIVI;NO;15;15;12 GR PEZZO
OLIVE DENOCCIOLATE;CONTORNI;NO;15;15;€ 0,99
SALMONE;CARNI;NO;15;15;
LIME;CONTORNI;SI;15;15;€ 2,99
SALSA AL PEPE;SALSE;SI;15;15;
SALSA ANDALUSE;SALSE;NO;15;15;
LIMONE;CONTORNI;SI;15;15;€ 1,69
POMODORI SECCHI;CONTORNI;NO;15;15;
SALSA BBQ - BUSTINE;SALSE;NO;15;15;
SALSA BOSCAIOLA;SALSE;SI;15;15;
SALSA BURGER;SALSE;NO;15;15;
SALSA ROSA;SALSE;NO;15;15;
SALSA ROSA SQUEEZE;SALSE;NO;15;15;
MAIS;CONTORNI;SI;15;15;€ 0,64
PANE SPUNTINELLE;PANE;NO;15;15;
NUTELLA;SALSE;SI;15;15;€ 17,54
OLIO EXTRAVERGINE AL PEPERONCINO;SALSE;SI;15;15;€ 2,79
SALSA TONNATA;SALSE;NO;15;15;
OLIO EXTRAVERGINE IN BUSTINE;SALSE;SI;15;15;€ 13,63
SALSA YOGURT;SALSE;NO;15;15;
SALSICCIA;CARNI;NO;15;15;
SCIMUDIN VALTELLINA;FORMAGGI;NO;15;15;
SENAPE;SALSE;NO;15;15;
ORIGANO;CONTORNI;SI;15;15;€ 3,05
SPATZLE;CUCINA;NO;15;15;
PANE IN CASSETTA;PANE;SI;15;15;
PAPRICA DOLCE;CONTORNI;SI;15;15;
SPEEDY POPS;FRITTI;NO;15;15;7 GR L'UNO
SPIANATA PICCANTE;AFFETTATI;NO;15;15;
STICK DI ORTAGGI IN PASTELLA;FRITTI;NO;15;15;
STICK DI ZUCCHINE IN PASTELLA;FRITTI;NO;15;15;
STINCO;CUCINA;OKTOBERFEST;15;15;600 GRAMMI
POMODORO CILIEGINO;CONTORNI;SI;15;15;
SALSA VERDE;CONTORNI;SI;15;15;
POMODORO;CONTORNI;SI;15;15;
STRUDEL DI MELE;DOLCI;SI;15;15;6 FETTE DA 160 GR
SALE FINO;CONTORNI;SI;15;15;
TABASCO;SALSE;NO;15;15;
TACCHINO FESA FRESCA;AFFETTATI;NATALE;15;15;
TIGELLE;PANE;NO;15;15;UNA TIGELLA 41 GR --> 0,22 €
TIRAMISU MONOPORZIONE;DOLCI;NO;15;15;MONOORZIONE 100 GRAMMI
TOMA;FORMAGGI;NO;15;15;
TOMA DI CAPRA;FORMAGGI;NO;15;15;6,625
TOMA VALMORA;FORMAGGI;NO;15;15;
PASSATA DI POMODORO;SALSE;NO;15;15;
PESTO;SALSE;NO;15;15;
TARALLI;APERITIVI;SI;15;15;
THE TISANE;CAFFETTERIA;SI;15;15;20 PER CONFEZIONE
TORTA BI GUSTO NONNA MACAO;DOLCI;NO;15;15;100 GRAMMI
TORTINO CIOCCOLATO;DOLCI;SI;15;15;100 GRAMMI
TRIS WURSTEL BAVARESE;CARNI;OKTOBERFEST;15;15;
WAFFELS DOLCI;DOLCI;SI;15;15;90 GRAMMI
TOPPING CIOCCOLATO;SALSE;SI;15;15;
TOPPING FRUTTI DI BOSCO;SALSE;NO;15;15;
ZUCCHERO DI CANNA;CAFFETTERIA;SI;15;15;5 GR BUSTINE CAFFE'
ZUCCHINE;CONTORNI;SI;15;15;
